"codigo","tipo","quantidade_teorica","participacao_percentual","quantidade_teorica_total","quantidade_teorica_acao","participacao_percentual_acao","quantidade_dias_ultima_data_referencia","data_referencia","acao"
"ASAI3","ON NM","1345832968","0.481","98933369823","1345832968","0.48100000619888306","10","2025-03-19","ASSAI"
"LREN3","ON NM","1051120777","0.614","98933369823","1051120777","0.6140000224113464","10","2025-03-19","LOJAS RENNER"
"ABEV3","ON ED","4394835131","2.82","98933369823","4394835131","2.819999933242798","10","2025-03-19","AMBEV S%2FA"
"JBSS3","ON NM","1145962972","2.095","98933369823","1145962972","2.0950000286102295","10","2025-03-19","JBS"
"MRVE3","ON NM","377241484","0.092","98933369823","377241484","0.09200000017881393","10","2025-03-19","MRV"
"IRBR3","ON NM","81838243","0.187","98933369823","81838243","0.18700000643730164","10","2025-03-19","IRBBRASIL RE"
"BRKM5","PNA N1","265388400","0.141","98933369823","265388400","0.14100000262260437","10","2025-03-19","BRASKEM"
"EGIE3","ON NM","255236938","0.467","98933369823","255236938","0.46700000762939453","10","2025-03-19","ENGIE BRASIL"
"POMO4","PN N2","666378439","0.216","98933369823","666378439","0.2160000056028366","10","2025-03-19","MARCOPOLO"
"ABEV3","ON ED","4394835131","2.839","98933369823","4394835131","2.8389999866485596","4","2025-03-23","AMBEV S%2FA"
"BRAP4","PN N1","250969312","0.212","98933369823","250969312","0.21199999749660492","4","2025-03-23","BRADESPAR"
"VALE3","ON NM","4270903023","11.545","98933369823","4270903023","11.545000076293945","4","2025-03-23","VALE"
"VIVA3","ON NM","125446075","0.113","98933369823","125446075","0.11299999803304672","4","2025-03-23","VIVARA S.A."
"ENGI11","UNT N2","326175300","0.639","98933369823","326175300","0.6389999985694885","4","2025-03-23","ENERGISA"
"PRIO3","ON NM","779999989","1.433","98933369823","779999989","1.4329999685287476","4","2025-03-23","PETRORIO"
"PCAR3","ON NM","462534972","0.056","98933369823","462534972","0.0560000017285347","4","2025-03-23","P.ACUCAR-CBD"
"CYRE3","ON NM","273755006","0.308","98933369823","273755006","0.30799999833106995","4","2025-03-23","CYRELA REALT"
"BPAC11","UNT N2","1287247964","2.168","98933369823","1287247964","2.1679999828338623","4","2025-03-23","BTGP BANCO"
"BBAS3","ON NM","2842613858","3.795","98933369823","2842613858","3.7950000762939453","4","2025-03-23","BRASIL"
"SUZB3","ON NM","630821784","1.613","98933369823","630821784","1.6130000352859497","4","2025-03-23","SUZANO S.A."
"ITSA4","PN N1","5857796242","2.635","98933369823","5857796242","2.634999990463257","4","2025-03-23","ITAUSA"
"POMO4","PN N2","666378439","0.224","98933369823","666378439","0.2240000069141388","4","2025-03-23","MARCOPOLO"
"BEEF3","ON NM","261359935","0.073","98933369823","261359935","0.0729999989271164","4","2025-03-23","MINERVA"
"ALOS3","ON EJ NM","476976044","0.439","98933369823","476976044","0.4390000104904175","4","2025-03-23","ALLOS"
"ITUB4","PN EB N1","5272192664","7.976","98933369823","5272192664","7.97599983215332","4","2025-03-23","ITAUUNIBANCO"
"RADL3","ON NM","1286616979","1.199","98933369823","1286616979","1.1990000009536743","4","2025-03-23","RAIADROGASIL"
"UGPA3","ON NM","1090134379","0.906","98933369823","1090134379","0.906000018119812","4","2025-03-23","ULTRAPAR"
"EMBR3","ON NM","734631801","2.584","98933369823","734631801","2.5840001106262207","4","2025-03-23","EMBRAER"
"SBSP3","ON NM","683508568","3.26","98933369823","683508568","3.259999990463257","4","2025-03-23","SABESP"
